index,age,spec_presc,is_astig,tear_rate,which_lens
1,young,myope,no,reduced,needs_no_lenses
2,young,myope,no,normal,needs_soft_lenses
3,young,myope,yes,reduced,needs_no_lenses
4,young,myope,yes,normal,needs_hard_lenses
5,young,hypermetrope,no,reduced,needs_no_lenses
6,young,hypermetrope,no,normal,needs_soft_lenses
7,young,hypermetrope,yes,reduced,needs_no_lenses
8,young,hypermetrope,yes,normal,needs_hard_lenses
9,pre-presbyopic,myope,no,reduced,needs_no_lenses
10,pre-presbyopic,myope,no,normal,needs_soft_lenses
11,pre-presbyopic,myope,yes,reduced,needs_no_lenses
12,pre-presbyopic,myope,yes,normal,needs_hard_lenses
13,pre-presbyopic,hypermetrope,no,reduced,needs_no_lenses
14,pre-presbyopic,hypermetrope,no,normal,needs_soft_lenses
15,pre-presbyopic,hypermetrope,yes,reduced,needs_no_lenses
16,pre-presbyopic,hypermetrope,yes,normal,needs_no_lenses
17,presbyopic,myope,no,reduced,needs_no_lenses
18,presbyopic,myope,no,normal,needs_no_lenses
19,presbyopic,myope,yes,reduced,needs_no_lenses
20,presbyopic,myope,yes,normal,needs_hard_lenses
21,presbyopic,hypermetrope,no,reduced,needs_no_lenses
22,presbyopic,hypermetrope,no,normal,needs_soft_lenses
23,presbyopic,hypermetrope,yes,reduced,needs_no_lenses
24,presbyopic,hypermetrope,yes,normal,needs_no_lenses
